Round,Turn,Entity,Nell cash,Bob cash,Pete cash,Malvoy cash,Nell net,Bob net,Pete net,Malvoy net,Baltimore & Ohio cash,Boston & Maine cash,Chesapeake & Ohio cash,Illinois Central cash,Erie cash,New York Central cash,Nickel Plate cash,New York New Haven & Hartford cash,Pennsylvania cash,Wabash cash,Norfolk & Western cash,Baltimore & Ohio np,Boston & Maine np,Chesapeake & Ohio np,Illinois Central np,Erie np,New York Central np,Nickel Plate np,New York New Haven & Hartford np,Pennsylvania np,Wabash np,Norfolk & Western np,Baltimore & Ohio val,Boston & Maine val,Chesapeake & Ohio val,Illinois Central val,Erie val,New York Central val,Nickel Plate val,New York New Haven & Hartford val,Pennsylvania val,Wabash val,Norfolk & Western val,Baltimore & Ohio pps,Boston & Maine pps,Chesapeake & Ohio pps,Illinois Central pps,Erie pps,New York Central pps,Nickel Plate pps,New York New Haven & Hartford pps,Pennsylvania pps,Wabash pps,Norfolk & Western pps,Baltimore & Ohio sh,Boston & Maine sh,Chesapeake & Ohio sh,Illinois Central sh,Erie sh,New York Central sh,Nickel Plate sh,New York New Haven & Hartford sh,Pennsylvania sh,Wabash sh,Norfolk & Western sh,Baltimore & Ohio or,Boston & Maine or,Chesapeake & Ohio or,Illinois Central or,Erie or,New York Central or,Nickel Plate or,New York New Haven & Hartford or,Pennsylvania or,Wabash or,Norfolk & Western or,Train 
3,0,Boston & Maine,75,33,51,42,621,429,447,438,358,135,0,0,0,0,0,0,326,0,0,10,40,0,0,0,0,0,0,20,0,0,66,91,34,34,34,34,34,34,66,34,34,0,13,0,0,0,0,0,0,0,0,0,1,4,10,10,10,10,10,10,1,10,10,0,0,0,0,0,0,0,0,0,0,0,5
3,1,Pennsylvania,75,33,87,60,621,429,531,480,358,135,0,0,0,0,0,0,332,0,0,10,40,0,0,0,0,0,0,60,0,0,66,91,34,34,34,34,34,34,74,34,34,0,13,0,0,0,0,0,0,14,0,0,1,4,10,10,10,10,10,10,1,10,10,0,0,0,0,0,0,0,0,0,0,0,5
3,2,Baltimore & Ohio,75,63,87,75,621,507,531,519,363,135,0,0,0,0,0,0,332,0,0,50,40,0,0,0,0,0,0,60,0,0,74,91,34,34,34,34,34,34,74,34,34,13,13,0,0,0,0,0,0,14,0,0,1,4,10,10,10,10,10,10,1,10,10,0,0,0,0,0,0,0,0,0,0,0,5
1,0,Bob,75,63,87,75,621,507,531,519,363,135,0,0,0,0,0,0,332,0,0,50,40,0,0,0,0,0,0,60,0,0,74,91,34,34,34,34,34,34,74,34,34,0,0,0,0,0,0,0,0,0,0,0,1,4,10,10,10,10,10,10,1,10,10,0,0,0,0,0,0,0,0,0,0,0,5
1,1,Malvoy,75,63,87,1,621,507,531,519,363,135,0,0,0,0,0,0,406,0,0,50,40,0,0,0,0,0,0,60,0,0,74,91,34,34,34,34,34,34,74,34,34,0,0,0,0,0,0,0,0,0,0,0,1,4,10,10,10,10,10,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,5
1,2,Nell,1,63,87,1,621,507,531,519,437,135,0,0,0,0,0,0,406,0,0,50,40,0,0,0,0,0,0,60,0,0,74,91,34,34,34,34,34,34,74,34,34,0,0,0,0,0,0,0,0,0,0,0,0,4,10,10,10,10,10,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,5
1,3,Pete,1,63,87,1,621,507,531,519,437,135,0,0,0,0,0,0,406,0,0,50,40,0,0,0,0,0,0,60,0,0,74,91,34,34,34,34,34,34,74,34,34,0,0,0,0,0,0,0,0,0,0,0,0,4,10,10,10,10,10,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,5
1,0,Bob,1,63,87,1,621,507,531,519,437,135,0,0,0,0,0,0,406,0,0,50,40,0,0,0,0,0,0,60,0,0,74,91,34,34,34,34,34,34,74,34,34,0,0,0,0,0,0,0,0,0,0,0,0,4,10,10,10,10,10,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,5
1,1,Malvoy,1,63,87,1,621,507,531,519,437,135,0,0,0,0,0,0,406,0,0,50,40,0,0,0,0,0,0,60,0,0,74,91,34,34,34,34,34,34,74,34,34,0,0,0,0,0,0,0,0,0,0,0,0,4,10,10,10,10,10,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,5
1,2,Nell,1,63,87,1,621,507,531,519,437,135,0,0,0,0,0,0,406,0,0,50,40,0,0,0,0,0,0,60,0,0,74,91,34,34,34,34,34,34,74,34,34,0,0,0,0,0,0,0,0,0,0,0,0,4,10,10,10,10,10,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,5
1,3,Pete,1,63,87,1,621,507,531,519,437,135,0,0,0,0,0,0,406,0,0,50,40,0,0,0,0,0,0,60,0,0,74,91,34,34,34,34,34,34,74,34,34,0,0,0,0,0,0,0,0,0,0,0,0,4,10,10,10,10,10,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,5
2,0,Boston & Maine,31,63,87,1,705,507,531,519,437,65,0,0,0,0,0,0,406,0,0,50,50,0,0,0,0,0,0,60,0,0,74,100,34,34,34,34,34,34,74,34,34,0,14,0,0,0,0,0,0,0,0,0,0,4,10,10,10,10,10,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,6
2,1,Pennsylvania,31,63,153,45,705,507,645,595,437,65,0,0,0,0,0,0,146,0,0,50,50,0,0,0,0,0,0,110,0,0,74,100,34,34,34,34,34,34,82,34,34,0,14,0,0,0,0,0,0,19,0,0,0,4,10,10,10,10,10,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,7
2,2,Baltimore & Ohio,42,129,153,78,724,621,645,652,227,65,0,0,0,0,0,0,146,0,0,110,50,0,0,0,0,0,0,110,0,0,82,100,34,34,34,34,34,34,82,34,34,19,14,0,0,0,0,0,0,19,0,0,0,4,10,10,10,10,10,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,8
3,0,Boston & Maine,72,129,153,78,754,621,645,652,227,25,0,0,0,0,0,0,146,0,0,110,50,0,0,0,0,0,0,110,0,0,82,100,34,34,34,34,34,34,82,34,34,0,5,0,0,0,0,0,0,0,0,0,0,4,10,10,10,10,10,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,9
3,1,Pennsylvania,72,129,153,78,754,621,645,652,227,25,0,0,0,0,0,0,236,0,0,110,50,0,0,0,0,0,0,110,0,0,82,100,34,34,34,34,34,34,82,34,34,0,5,0,0,0,0,0,0,0,0,0,0,4,10,10,10,10,10,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,9
3,2,Baltimore & Ohio,84,201,153,114,775,747,645,715,47,25,0,0,0,0,0,0,236,0,0,120,50,0,0,0,0,0,0,110,0,0,91,100,34,34,34,34,34,34,82,34,34,21,5,0,0,0,0,0,0,0,0,0,0,4,10,10,10,10,10,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,10
1,0,3,265,220,80,92,40,233,487,508,352,412,313,670,684,448,564,0,0,526,0,682,655,0,0,90,110,30,0,0,100,0,120,80,0,0,66,74,82,34,34,74,34,91,91,34,34,0,0,0,0,0,0,0,0,0,0,0,5,6,5,10,10,6,10,7,7,10,10,0,0,0,0,0,0,0,0,0,0,0,11
1,1,2,265,10,80,250,40,233,487,298,352,570,313,670,684,448,564,0,0,526,0,682,655,0,0,90,110,30,0,0,100,0,120,80,0,0,66,74,82,34,34,74,34,91,91,34,34,0,0,0,0,0,0,0,0,0,0,0,5,6,5,10,10,6,10,7,7,10,10,0,0,0,0,0,0,0,0,0,0,0,11
1,2,3,265,10,80,250,40,233,487,298,352,570,313,670,684,448,564,0,0,526,0,682,655,0,0,90,110,30,0,0,100,0,120,80,0,0,66,74,82,34,34,74,34,91,91,34,34,0,0,0,0,0,0,0,0,0,0,0,5,6,5,10,10,6,10,7,7,10,10,0,0,0,0,0,0,0,0,0,0,0,11
1,3,1,265,10,80,250,40,233,487,298,352,570,313,670,684,448,564,0,0,526,0,682,655,0,0,90,110,30,0,0,100,0,120,80,0,0,66,74,82,34,34,74,34,91,91,34,34,0,0,0,0,0,0,0,0,0,0,0,5,6,5,10,10,6,10,7,7,10,10,0,0,0,0,0,0,0,0,0,0,0,11
1,4,5,265,10,80,250,40,233,487,298,352,570,313,670,684,448,564,0,0,526,0,682,655,0,0,90,110,30,0,0,100,0,120,80,0,0,66,74,82,34,34,74,34,91,91,34,34,0,0,0,0,0,0,0,0,0,0,0,5,6,5,10,10,6,10,7,7,10,10,0,0,0,0,0,0,0,0,0,0,0,11
1,5,0,265,10,80,250,40,233,487,298,352,570,313,670,684,448,564,0,0,526,0,682,655,0,0,90,110,30,0,0,100,0,120,80,0,0,66,74,82,34,34,74,34,91,91,34,34,0,0,0,0,0,0,0,0,0,0,0,5,6,5,10,10,6,10,7,7,10,10,0,0,0,0,0,0,0,0,0,0,0,11
1,0,4,265,10,80,250,40,233,487,298,352,570,313,670,684,448,564,0,0,526,0,682,655,0,0,90,110,30,0,0,100,0,120,80,0,0,66,74,82,34,34,74,34,91,91,34,34,0,0,0,0,0,0,0,0,0,0,0,5,6,5,10,10,6,10,7,7,10,10,0,0,0,0,0,0,0,0,0,0,0,11
1,1,2,265,10,80,250,40,233,487,298,352,570,313,670,684,448,564,0,0,526,0,682,655,0,0,90,110,30,0,0,100,0,120,80,0,0,66,74,82,34,34,74,34,91,91,34,34,0,0,0,0,0,0,0,0,0,0,0,5,6,5,10,10,6,10,7,7,10,10,0,0,0,0,0,0,0,0,0,0,0,11
1,2,3,265,10,80,250,40,233,487,298,352,570,313,670,684,448,564,0,0,526,0,682,655,0,0,90,110,30,0,0,100,0,120,80,0,0,66,74,82,34,34,74,34,91,91,34,34,0,0,0,0,0,0,0,0,0,0,0,5,6,5,10,10,6,10,7,7,10,10,0,0,0,0,0,0,0,0,0,0,0,11
1,3,1,265,10,80,250,40,233,487,298,352,570,313,670,684,448,564,0,0,526,0,682,655,0,0,90,110,30,0,0,100,0,120,80,0,0,66,74,82,34,34,74,34,91,91,34,34,0,0,0,0,0,0,0,0,0,0,0,5,6,5,10,10,6,10,7,7,10,10,0,0,0,0,0,0,0,0,0,0,0,11
1,4,5,265,10,80,250,40,233,487,298,352,570,313,670,684,448,564,0,0,526,0,682,655,0,0,90,110,30,0,0,100,0,120,80,0,0,66,74,82,34,34,74,34,91,91,34,34,0,0,0,0,0,0,0,0,0,0,0,5,6,5,10,10,6,10,7,7,10,10,0,0,0,0,0,0,0,0,0,0,0,11
