SEQ,Round,Turn,Entity,Bob cash,Pete cash,Nel cash,Sue cash,Mal cash,Bob net,Pete net,Nel net,Sue net,Mal net,Baltimore & Ohio cash,Boston & Maine cash,Chesapeake & Ohio cash,Illinois Central cash,Erie cash,New York Central cash,Nickel Plate cash,New York New Haven & Hartford cash,Pennsylvania cash,Wabash cash,Baltimore & Ohio np,Boston & Maine np,Chesapeake & Ohio np,Illinois Central np,Erie np,New York Central np,Nickel Plate np,New York New Haven & Hartford np,Pennsylvania np,Wabash np,Baltimore & Ohio val,Boston & Maine val,Chesapeake & Ohio val,Illinois Central val,Erie val,New York Central val,Nickel Plate val,New York New Haven & Hartford val,Pennsylvania val,Wabash val,Baltimore & Ohio pps,Boston & Maine pps,Chesapeake & Ohio pps,Illinois Central pps,Erie pps,New York Central pps,Nickel Plate pps,New York New Haven & Hartford pps,Pennsylvania pps,Wabash pps,Baltimore & Ohio sh,Boston & Maine sh,Chesapeake & Ohio sh,Illinois Central sh,Erie sh,New York Central sh,Nickel Plate sh,New York New Haven & Hartford sh,Pennsylvania sh,Wabash sh,Baltimore & Ohio or,Boston & Maine or,Chesapeake & Ohio or,Illinois Central or,Erie or,New York Central or,Nickel Plate or,New York New Haven & Hartford or,Pennsylvania or,Wabash or,Train ,Baltimore & Ohio or,Boston & Maine or,Chesapeake & Ohio or,Illinois Central or,Erie or,New York Central or,Nickel Plate or,New York New Haven & Hartford or,Pennsylvania or,Wabash or
58,2,0,New York Central,40,0,45,27,50,340,430,500,448,454,188,0,0,0,0,275,0,0,395,0,50,0,0,0,0,70,0,0,60,0,60,34,34,34,34,91,34,34,74,34,0,0,0,0,0,16,0,0,0,0,4,10,10,10,10,0,10,10,0,10,0,0,0,0,0,0,0,0,0,0,7,0.83,0.00,0.00,0.00,0.00,0.77,0.00,0.00,0.81,0.00
59,2,1,Pennsylvania,40,40,45,43,74,340,510,500,480,502,188,0,0,0,0,275,0,0,185,0,50,0,0,0,0,70,0,0,80,0,60,34,34,34,34,91,34,34,82,34,0,0,0,0,0,16,0,0,16,0,4,10,10,10,10,0,10,10,0,10,0,0,0,0,0,0,0,0,0,0,8,0.83,0.00,0.00,0.00,0.00,0.77,0.00,0.00,0.98,0.00
60,2,2,Baltimore & Ohio,65,45,45,43,74,365,515,500,480,502,108,0,0,0,0,275,0,0,185,0,50,0,0,0,0,70,0,0,80,0,60,34,34,34,34,91,34,34,82,34,5,0,0,0,0,16,0,0,16,0,4,10,10,10,10,0,10,10,0,10,0,0,0,0,0,0,0,0,0,0,8,0.83,0.00,0.00,0.00,0.00,0.77,0.00,0.00,0.98,0.00
61,3,0,New York Central,65,45,85,67,90,365,515,585,531,536,108,0,0,0,0,255,0,0,185,0,50,0,0,0,0,80,0,0,80,0,60,34,34,34,34,100,34,34,82,34,0,0,0,0,0,17,0,0,0,0,4,10,10,10,10,0,10,10,0,10,0,0,0,0,0,0,0,0,0,0,8,0.83,0.00,0.00,0.00,0.00,0.80,0.00,0.00,0.98,0.00
62,3,1,Pennsylvania,65,95,85,87,120,365,610,585,569,593,108,0,0,0,0,255,0,0,165,0,50,0,0,0,0,80,0,0,100,0,60,34,34,34,34,100,34,34,91,34,0,0,0,0,0,17,0,0,19,0,4,10,10,10,10,0,10,10,0,10,0,0,0,0,0,0,0,0,0,0,8,0.83,0.00,0.00,0.00,0.00,0.80,0.00,0.00,1.10,0.00
63,3,2,Baltimore & Ohio,110,104,85,87,120,440,625,585,569,593,144,0,0,0,0,255,0,0,165,0,90,0,0,0,0,80,0,0,100,0,66,34,34,34,34,100,34,34,91,34,15,0,0,0,0,17,0,0,19,0,4,10,10,10,10,0,10,10,0,10,0,0,0,0,0,0,0,0,0,0,8,1.36,0.00,0.00,0.00,0.00,0.80,0.00,0.00,1.10,0.00
68,1,4,Mal,44,38,19,21,120,440,625,585,569,593,408,0,0,0,0,255,0,0,165,0,90,0,0,0,0,80,0,0,100,0,66,34,34,34,34,100,34,34,91,34,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,0,10,10,0,10,0,0,0,0,0,0,0,0,0,0,8,1.36,0.00,0.00,0.00,0.00,0.80,0.00,0.00,1.10,0.00
73,1,4,Mal,44,38,19,21,120,440,625,585,569,593,408,0,0,0,0,255,0,0,165,0,90,0,0,0,0,80,0,0,100,0,66,34,34,34,34,100,34,34,91,34,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,0,10,10,0,10,0,0,0,0,0,0,0,0,0,0,8,1.36,0.00,0.00,0.00,0.00,0.80,0.00,0.00,1.10,0.00
74,2,0,New York Central,44,38,74,54,142,440,625,690,632,635,408,0,0,0,0,115,0,0,165,0,90,0,0,0,0,110,0,0,100,0,66,34,34,34,34,110,34,34,91,34,0,0,0,0,0,21,0,0,0,0,0,10,10,10,10,0,10,10,0,10,0,0,0,0,0,0,0,0,0,0,9,1.36,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.10,0.00
75,2,1,Pennsylvania,44,103,74,80,181,440,735,690,676,701,408,0,0,0,0,115,0,0,5,0,90,0,0,0,0,110,0,0,130,0,66,34,34,34,34,110,34,34,100,34,0,0,0,0,0,21,0,0,22,0,0,10,10,10,10,0,10,10,0,10,0,0,0,0,0,0,0,0,0,0,10,1.36,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.30,0.00
